ChromatogramRI,
X:,Y:
8.05167,-0.706
8.05333,-0.715
8.055,-0.719
8.05667,-0.728
8.05833,-0.728
8.06,-0.727
8.06167,-0.717
8.06333,-0.712
8.065,-0.712
8.06667,-0.717
8.06833,-0.722
8.07,-0.728
8.07167,-0.735
8.07333,-0.735
8.075,-0.729
8.07667,-0.72
8.07833,-0.706
8.08,-0.702
8.08167,-0.699
8.08333,-0.71
8.085,-0.721
8.08667,-0.727
8.08833,-0.732
8.09,-0.737
8.09167,-0.738
8.09333,-0.728
8.095,-0.722
8.09667,-0.722
8.09833,-0.722
8.1,-0.727
8.10167,-0.732
8.10333,-0.737
8.105,-0.743
8.10667,-0.748
8.10833,-0.736
8.11,-0.726
8.11167,-0.721
8.11333,-0.721
8.115,-0.721
8.11667,-0.726
8.11833,-0.735
8.12,-0.74
8.12167,-0.75
8.12333,-0.75
8.125,-0.745
8.12667,-0.74
8.12833,-0.74
8.13,-0.74
8.13167,-0.745
8.13333,-0.745
8.135,-0.746
8.13667,-0.751
8.13833,-0.755
8.14,-0.755
8.14167,-0.75
8.14333,-0.745
8.145,-0.739
8.14667,-0.74
8.14833,-0.749
8.15,-0.754
8.15167,-0.763
8.15333,-0.767
8.155,-0.767
8.15667,-0.762
8.15833,-0.757
8.16,-0.753
8.16167,-0.749
8.16333,-0.749
8.165,-0.749
8.16667,-0.754
8.16833,-0.759
8.17,-0.764
8.17167,-0.764
8.17333,-0.759
8.175,-0.759
8.17667,-0.755
8.17833,-0.755
8.18,-0.754
8.18167,-0.755
8.18333,-0.76
8.185,-0.765
8.18667,-0.77
8.18833,-0.77
8.19,-0.759
8.19167,-0.759
8.19333,-0.753
8.195,-0.757
8.19667,-0.757
8.19833,-0.772
8.2,-0.777
8.20167,-0.786
8.20333,-0.786
8.205,-0.782
8.20667,-0.777
8.20833,-0.768
8.21,-0.768
8.21167,-0.763
8.21333,-0.763
8.215,-0.773
8.21667,-0.783
8.21833,-0.792
8.22,-0.792
8.22167,-0.782
8.22333,-0.772
8.225,-0.767
8.22667,-0.766
8.22833,-0.766
8.23,-0.772
8.23167,-0.779
8.23333,-0.79
8.235,-0.795
8.23667,-0.79
8.23833,-0.78
8.24,-0.771
8.24167,-0.766
8.24333,-0.766
8.245,-0.776
8.24667,-0.782
8.24833,-0.793
8.25,-0.793
8.25167,-0.799
8.25333,-0.79
8.255,-0.785
8.25667,-0.781
8.25833,-0.781
8.26,-0.781
8.26167,-0.785
8.26333,-0.784
8.265,-0.794
8.26667,-0.798
8.26833,-0.798
8.27,-0.791
8.27167,-0.791
8.27333,-0.79
8.275,-0.79
8.27667,-0.794
8.27833,-0.794
8.28,-0.798
8.28167,-0.802
8.28333,-0.802
8.285,-0.802
8.28667,-0.792
8.28833,-0.792
8.29,-0.787
8.29167,-0.791
8.29333,-0.79
8.295,-0.794
8.29667,-0.804
8.29833,-0.814
8.3,-0.815
8.30167,-0.81
8.30333,-0.799
8.305,-0.783
8.30667,-0.783
8.30833,-0.789
8.31,-0.788
8.31167,-0.793
8.31333,-0.797
8.315,-0.808
8.31667,-0.813
8.31833,-0.808
8.32,-0.798
8.32167,-0.794
8.32333,-0.789
8.325,-0.79
8.32667,-0.801
8.32833,-0.806
8.33,-0.812
8.33167,-0.812
8.33333,-0.813
8.335,-0.807
8.33667,-0.803
8.33833,-0.809
8.34,-0.809
8.34167,-0.814
8.34333,-0.814
8.345,-0.819
8.34667,-0.825
8.34833,-0.83
8.35,-0.825
8.35167,-0.82
8.35333,-0.815
8.355,-0.81
8.35667,-0.809
8.35833,-0.815
8.36,-0.83
8.36167,-0.835
8.36333,-0.84
8.365,-0.839
8.36667,-0.835
8.36833,-0.824
8.37,-0.819
8.37167,-0.815
8.37333,-0.815
8.375,-0.821
8.37667,-0.826
8.37833,-0.836
8.38,-0.842
8.38167,-0.842
8.38333,-0.843
8.385,-0.833
8.38667,-0.834
8.38833,-0.834
8.39,-0.834
8.39167,-0.839
8.39333,-0.843
8.395,-0.848
8.39667,-0.849
