Polymer_Name_P,Mn,Mw,D,THF Soluble,DMF Soluble,DCM Soluble,Storage Location (Box#_CR),Synthesis_Set,Notes on State,Biodeg Run,Biodegradable,Degradation Type,Biodeg_data_Date,NMR Run ,GPC Run,Ratio from NMR (order of names),Ratio 1,Ratio 2,Ratio 3
AZA50_MRD25_CHM25_P,12390,20000,1.614,Y,,,T1_A5,1,viscous,Y,Y,Distributed,20231209,,Y,2:1.9:0.1,2,1.9,0.1
AZA50_PRD25_TPG25_P,,,,,,,T1_C7,4,viscous,Y,Y,Clear Zone,20231018,Y,,Unresolvable,2,1,1
AZA50_TPG25_DCD25_P,,,,,,,T2_G8,19,"solid (waxy, opaque)",Y,Y,Distributed,20231115,P,,2:0.8:1.2,2,0.8,1.2
CCD25_AZA25_BED50_P,,,,,,,T3_A6,22,,Y,Y,Distributed,20231209,P,,0.7:1.3:2,0.7,1.3,2
CCD25_AZA25_PRD50_P,,,,,,,T1_E1,5,viscous,Y,Y,Clear Zone,20230910,Y,Y,0.5:1.5:2,0.5,1.5,2
CCD25_SBA25_TEG50_P,,,,,,,T2_I6,20,,Y,Y,Distributed,20231115,,,0.7:1.3:2,0.7,1.3,2
CCD25_SBA25_TPD50_P,,,,,,,T2_C6,15,viscous,Y,Y,Distributed,20231115,Y,Y,0.7:1.3:2,0.7,1.3,2
CCD50_BED25_OTD25_P,,,,,,,T3_A3,22,,Y,Y,Distributed,20231209,P,,2:1.0:1.0,2,1,1
CCD50_BND25_BPA25_P,,,,,,,T1_J10,12,"solid (elastic, clear)",Y,Y,Color Interference,20231115,Y,Y,2:1.4:0.6,2,1.4,0.6
CCD50_BTD25_DCD25_P,,,,,,,T1_B10,3,"solid (waxy, opaque)",Y,Y,Distributed,20231018,Y,Y,2:0.9:1.1,2,0.9,1.1
CCD50_BTD25_TPG25_P,,,,,,,T1_B5,2,"solid (elastic, clear)",Y,Y,Distributed,20230910,Y,Y,Unresolvable,2,1,1
CCD50_DEG25_OTD25_P,,,,,,,T2_F4,17,viscous,Y,Y,Distributed,20231115,P,Y,2:0.8:1.2,2,0.8,1.2
CCD50_DMD25_BED25_P,,,,,,,T1_F7,8,"solid (elastic, clear)",Y,Y,Distributed,20240321,P,Y,2:1.0:1.0,2,1,1
CCD50_DPD25_BED25_P,,,,,,,T2_C9,15,"solid (elastic, clear)",Y,Y,Distributed,20231115,Y,Y,2:1.0:1.0,2,1,1
CCD50_DPD25_CHD25_P,,,,,,,T2_D6,16,"solid (elastic, clear)",Y,Y,Distributed,20231115,Y,Y,2:1.0:1.0,2,1,1
CCD50_DPD25_NND25_P,,,,,,,T2_D5,16,"solid (elastic, clear)",Y,Y,Distributed,20231115,Y,Y,2:0.9:1.1,2,0.9,1.1
CCD50_DPG25_PTD25_P,,,,,,,T2_B1,13,"solid (elastic, clear)",Y,Y,Distributed,20231018,Y,Y,2:0.7:1.3,2,0.7,1.3
CCD50_ETG25_TPG25_P,,,,,,,T1_E10,7,"solid (elastic, clear)",Y,Y,Clear Zone,20230910,Y,Y,2:0.8:1.2,2,0.8,1.2
CCD50_PPD25_CHD25_P,,,,,,,T1_I1,10,"solid (elastic, clear)",Y,Y,Distributed,20231018,Y,,2:1.0:1.0,2,1,1
CCD50_PPD25_HND25_P,,,,,,,T1_H7,10,"solid (elastic, clear)",Y,N,NA,20231018,Y,,2:1.0:1.0,2,1,1
