Name,SMILES_List,Ratio_List,Biodegradability
AC_78,"['C(=O)CCCCCCC(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",0
AC_79,"['C(=O)CCCCCCC(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
AC_8,"['C(=O)CC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
AC_81,"['C(=O)CCCCCCC(=O)', 'OC(CS1)SCC1O']","[1, 1]",0
AC_83,"['C(=O)CCCCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
AC_84,"['C(=O)CCCCCCC(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_85,"['C(=O)CCCCCCC(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
AC_87,"['C(=O)C(C)(C)C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",1
AC_88,"['C(=O)C(C)(C)C(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",1
AC_89,"['C(=O)C(C)(C)C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",1
AC_91,"['C(=O)C(C)(C)C(=O)', 'OCC=CCO']","[1, 1]",1
AC_94,"['C(=O)C(C)(C)C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
AC_97,"['C(=O)c(cc1)ccc1C(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",0
AC_98,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCO']","[1, 1]",0
AC_99,"['C(=O)c(cc1)ccc1C(=O)', 'OCCCCCO']","[1, 1]",0
C_1,"['C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)C(C)(C)c3ccc(cc3)O']","[1, 1]",0
C_12,"['C(=O)', 'OCC=CCO']","[1, 1]",0
C_13,"['C(=O)', 'Oc(cccc1)c1c2c(cccc2)O']","[1, 1]",0
C_15,"['C(=O)', 'OCCCCCO']","[1, 1]",1
C_17,"['C(=O)', 'OCCCCCCCCO']","[1, 1]",0
C_18,"['C(=O)', 'OCCCCCCCCCO']","[1, 1]",0
C_19,"['C(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
C_2,"['C(=O)', 'Oc1ccc(cc1)C(C)(c2ccccc2)c3ccc(cc3)O']","[1, 1]",0
C_20,"['C(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
C_21,"['C(=O)', 'OCC(C)(C)CO']","[1, 1]",0
C_22,"['C(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
C_25,"['C(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
C_26,"['C(=O)', 'OCCOCCO']","[1, 1]",1
C_28,"['C(=O)', 'Oc1c(C)cc(cc1)S(=O)(=O)c2ccc(c(C)c2)O']","[1, 1]",0
C_29,"['C(=O)', 'OCCSSCCO']","[1, 1]",0
C_3,"['C(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
C_30,"['C(=O)', 'OCC(C)OCC(C)O']","[1, 1]",0
C_33,"['C(=O)', 'Oc1c(ccc2)c(ccc1)c2O']","[1, 1]",1
C_34,"['C(=O)', 'Oc1cc2c(cc1)ccc(c2)O']","[1, 1]",1
C_35,"['C(=O)', 'OCC#CCO']","[1, 1]",1
C_36,"['C(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
C_37,"['C(=O)', 'Oc1ccc(cc1)Cc2ccc(cc2)O']","[1, 1]",0
C_38,"['C(=O)', 'Oc1ccc(cc1)S(=O)(=O)c2ccc(cc2)O']","[1, 1]",0
C_4,"['C(=O)', 'Oc1ccc(cc1)C3(c2ccc(O)cc2)c4ccccc4-c5ccccc35']","[1, 1]",0
C_40,"['C(=O)', 'OCCCCO']","[1, 1]",1
C_41,"['C(=O)', 'OCCCCCCO']","[1, 1]",1
C_42,"['C(=O)', 'OCC(C)CO']","[1, 1]",0
C_43,"['C(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
C_48,"['C(=O)', 'OC(C=C)C(C=C)O']","[1, 1]",0
C_5,"['C(=O)', 'Oc1ccc(cc1)C2(CCCCC2)c3cc(cc3)O']","[1, 1]",1
C_6,"['C(=O)', 'Oc1ccc(cccc2)c2c1c3c(cccc4)c4ccc3O']","[1, 1]",1
C_7,"['C(=O)', 'Oc1ccc(cc1)Sc2ccc(cc2)O']","[1, 1]",0
C_8,"['C(=O)', 'OCC(COc1ccccc1OC)O']","[1, 1]",0
C_9,"['C(=O)', 'OCCSCCO']","[1, 1]",1
DW_10-1,"['C(=O)COCC(=O)', 'OCCO']","[1, 1]",1
DW_10-10,"['C(=O)COCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
DW_10-11,"['C(=O)COCC(=O)', 'OCC(C)O']","[1, 1]",1
DW_10-2,"['C(=O)COCC(=O)', 'OCCCO']","[1, 1]",1
DW_10-3,"['C(=O)COCC(=O)', 'OCCCCO']","[1, 1]",1
DW_10-4,"['C(=O)COCC(=O)', 'OCCCCCO']","[1, 1]",1
DW_10-5,"['C(=O)COCC(=O)', 'OCCCCCCO']","[1, 1]",1
DW_10-6,"['C(=O)COCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
DW_10-7,"['C(=O)COCC(=O)', 'OCCCCCCCO']","[1, 1]",1
DW_10-8,"['C(=O)COCC(=O)', 'OCCCCCCCCO']","[1, 1]",1
DW_10-9,"['C(=O)COCC(=O)', 'OCCCCCCCCCO']","[1, 1]",1
DW_12-10,"['C(=O)CSCC(=O)', 'OCCC(C)CCO']","[1, 1]",1
DW_12-11,"['C(=O)CSCC(=O)', 'OCCCCCCCCCCO']","[1, 1]",1
DW_12-3,"['C(=O)CN(C)CC(=O)', 'OCCCCO']","[1, 1]",1
DW_12-4,"['C(=O)CN(C)CC(=O)', 'OCCCCCCO']","[1, 1]",0
DW_12-5,"['C(=O)CN(C)CC(=O)', 'OCCC(C)CCO']","[1, 1]",0
DW_12-6,"['C(=O)CN(C)CC(=O)', 'OCCCCCCCCCCO']","[1, 1]",0
DW_12-7,"['C(=O)CSCC(=O)', 'OCCO']","[1, 1]",1
DW_12-8,"['C(=O)CSCC(=O)', 'OCCCCO']","[1, 1]",1
DW_12-9,"['C(=O)CSCC(=O)', 'OCCCCCCO']","[1, 1]",1
DW_13-1,"['C(=O)CCCCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
DW_13-11,"['C(=O)CCCCC(=O)', 'OCC(C)O']","[1, 1]",1
DW_13-2,"['C(=O)CCCCC(=O)', 'OCC(C)CO']","[1, 1]",1
DW_13-3,"['C(=O)CCCCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
DW_13-4,"['C(=O)CCCCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
DW_13-5,"['C(=O)CCCCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
DW_13-6,"['C(=O)CCCCC(=O)', 'OCC=CCO']","[1, 1]",0
DW_13-7,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
DW_13-8,"['C(=O)CCCCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
DW_13-9,"['C(=O)CCCCC(=O)', 'OCC#CCO']","[1, 1]",1
DW_14-1,"['C(=O)CCCCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
DW_14-11,"['C(=O)CCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",0
DW_14-2,"['C(=O)CCCCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",1
DW_14-5,"['C(=O)CCCCC(=O)', 'Oc1cccc(c1)O']","[1, 1]",1
DW_14-7,"['C(=O)CCC(=O)', 'OC(C)C(C)O']","[1, 1]",1
DW_14-8,"['C(=O)CCC(=O)', 'OC(CC1)CCC1O']","[1, 1]",0
DW_14-9,"['C(=O)CCC(=O)', 'OCC=CCO']","[1, 1]",1
DW_15-1,"['C(=O)CCC(=O)', 'OCC(CC)(CC)CO']","[1, 1]",0
DW_15-11,"['C(=O)CCCCCCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
DW_15-2,"['C(=O)CCC(=O)', 'OCC(C)CO']","[1, 1]",1
DW_15-3,"['C(=O)CCC(=O)', 'OCC(CC)(CCCC)CO']","[1, 1]",0
DW_15-4,"['C(=O)CCC(=O)', 'OCC(C)(C)C(C(C)C)O']","[1, 1]",0
DW_15-5,"['C(=O)CCC(=O)', 'OCC(C)(C)CO']","[1, 1]",0
DW_15-6,"['C(=O)CCC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",0
DW_15-7,"['C(=O)CCC(=O)', 'OC(CC1)CCC1C(C)(C)C(CC2)CCC2O']","[1, 1]",0
DW_15-8,"['C(=O)CCC(=O)', 'OCC(CC(C1)C2C3)C1C2CC3CO']","[1, 1]",0
DW_15-9,"['C(=O)CCC(=O)', 'Oc1ccc(cc1)C(C)(C)c2ccc(cc2)O']","[1, 1]",0
DW_16-1,"['C(=O)CN(C)CC(=O)', 'OCC(CC1)CCC1CO']","[1, 1]",1
